"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes"
"Pkm",1907.15846663396,-0.31624889460801,0.0666302248508373,-4.74632789122332,2.07142822199988e-06,0.000139747425405635,"Pkm"
"Tgif1",168.116420333026,-0.434646683090029,0.0925280918606735,-4.69745646267632,2.63421311039152e-06,0.000175624537606926,"Tgif1"
"Il23a",47.1891610152327,-0.792670445398173,0.168929422561047,-4.69231726114332,2.70127787321874e-06,0.000178001647761984,"Il23a"
"Il12b",918.363602674556,-0.64895378776236,0.139944117330421,-4.63723520603669,3.53100526859306e-06,0.00023000237766801,"Il12b"
"Gem",43.6280442507921,-0.711889550580549,0.154275065046817,-4.6144174391663,3.9419943168219e-06,0.000253855474925338,"Gem"
"Erp44",138.53474844828,0.388109736286748,0.0844397287795012,4.5962930233969,4.3007377130221e-06,0.000273845849659508,"Erp44"
"Rogdi",63.3003799869174,-0.589498145004437,0.128841632647386,-4.57537003289749,4.7537900715498e-06,0.000299330314838586,"Rogdi"
"Canx",613.217389108862,0.326494616366319,0.0714323780013816,4.57068104830563,4.86141714239494e-06,0.000302743416988485,"Canx"
"Pdpn",217.904971926901,-0.466368435960563,0.10216240854927,-4.56497103565884,4.99563309046973e-06,0.000307720138301,"Pdpn"
"Saa3",56.2908172494458,-0.812354278030506,0.180862696851856,-4.49155238847236,7.07059033216919e-06,0.000430849843144116,"Saa3"
"Rbm7",332.274874444225,-0.341858941288493,0.0762542031607844,-4.48314882482835,7.35495960178807e-06,0.000443410170886521,"Rbm7"
"Niacr1",453.872041823613,-0.284593460218739,0.0638337565235342,-4.45835363165279,8.25915644336327e-06,0.000492680416468838,"Niacr1"
"Eno1",1903.49934708901,-0.293555844958748,0.0659511133276621,-4.45111280381708,8.54264503847195e-06,0.000503921009817015,"Eno1"
"Ets2",185.934496481504,-0.511958382973867,0.1150716129981,-4.44904151106599,8.62543461306697e-06,0.000503921009817015,"Ets2"
"H2-T24",35.0553439452976,0.674280911921919,0.151829338112703,4.44104492783471,8.95230997018121e-06,0.000517681026540989,"H2-T24"
"Pgf",83.6280716206336,-0.655798237658644,0.148077051965355,-4.42876346438932,9.4774894142124e-06,0.000542514469801431,"Pgf"
