Associated Gene Name,Avg Length,Avg GC,Avg KPK
1700030C14Rik,756.0,0.531746031746,960.916442049
1700030J22Rik,2971.0,0.516324469875,1000.0
1700030K09Rik,1829.33333333,0.523067895494,1000.0
1700030M09Rik,789.0,0.556639306639,1000.0
1700031A10Rik,656.0,0.49237804878,998.442367601
1700031F05Rik,1125.5,0.511548431837,1000.0
1700031F10Rik,580.0,0.548099180448,1000.0
1700034B16Rik,722.0,0.51108033241,1000.0
1700034E13Rik,464.5,0.456954581377,1000.0
1700034G24Rik,1024.5,0.540696841003,1000.0
1700034H15Rik,1545.4,0.513103622726,996.601419702
1700034J05Rik,2515.0,0.455941409409,1000.0
1700034O15Rik,741.0,0.496626180837,1000.0
1700034P13Rik,1643.5,0.536912321933,999.356186888
1700036A12Rik,354.0,0.536723163842,1000.0
1700036O09Rik,349.0,0.34670487106,1000.0
1700037C06Rik,874.0,0.516018306636,1000.0
1700037C18Rik,965.0,0.578879231724,999.806051202
1700037F24Rik,973.0,0.523124357657,996.871741397
1700037H04Rik,1008.85714286,0.581131695208,994.792345142
1700039E15Rik,1486.83333333,0.544109273537,1000.0
1700039E22Rik,770.0,0.574025974026,1000.0
1700039M10Rik,522.0,0.369731800766,1000.0
1700040D17Rik,962.0,0.428274428274,1000.0
1700040L02Rik,957.0,0.476611037111,1000.0
1700041G16Rik,458.0,0.528384279476,1000.0
1700041M05Rik,306.0,0.493464052288,1000.0
1700042B14Rik,1077.0,0.424326833798,1000.0
1700042G07Rik,385.0,0.574025974026,1000.0
1700042G15Rik,404.75,0.525944589236,991.561181435
1700042O10Rik,1075.0,0.466976744186,1000.0
1700045H11Rik,593.0,0.485666104553,1000.0
1700046C09Rik,543.0,0.410681399632,1000.0
1700047A11Rik,532.5,0.441304491802,977.671451356
1700047F07Rik,445.75,0.514350364465,1000.0
1700047I17Rik2,830.0,0.563855421687,997.549019608
1700047K16Rik,886.0,0.513544018059,1000.0
1700048M11Rik,483.0,0.478260869565,972.281449893
1700048O20Rik,1642.0,0.456760048721,985.872235872
1700049E15Rik,743.5,0.481463150746,1000.0
1700049E17Rik1,1757.0,0.376209447923,1000.0
1700049E17Rik2,675.5,0.389266683703,1000.0
1700049G17Rik,1561.16666667,0.474005546785,994.524364956
1700049J03Rik,418.0,0.564593301435,1000.0
1700051A21Rik,1437.5,0.53326790419,994.05204461
1700052N19Rik,1836.85714286,0.454632725689,997.311875887
1700054K02Rik,376.0,0.470744680851,1000.0
1700054M17Rik,445.0,0.478651685393,1000.0
1700055C04Rik,355.0,0.549295774648,1000.0
1700055D18Rik,1570.0,0.447133757962,1000.0
1700055N04Rik,1446.5,0.539783034694,999.244332494
1700056E22Rik,967.0,0.641158221303,1000.0
1700056N10Rik,1043.0,0.47171620326,1000.0
1700057G04Rik,687.2,0.449348297959,1000.0
1700057H15Rik,525.75,0.515931933207,1000.0
1700057H21Rik,444.5,0.450265224615,1000.0
1700058P15Rik,413.0,0.479418886199,1000.0
1700060C16Rik,645.0,0.496124031008,1000.0
1700060C20Rik,597.0,0.529313232831,1000.0
1700060J05Rik,1060.0,0.471698113208,1000.0
1700061E18Rik,588.0,0.460884353741,1000.0
1700061F12Rik,876.0,0.438356164384,1000.0
1700061G19Rik,1810.0,0.53778069419,1000.0
1700061H18Rik,599.0,0.405390742108,1000.0
1700061I17Rik,1962.0,0.448521916412,1000.0
1700061J23Rik,537.0,0.469273743017,1000.0
1700063H04Rik,817.0,0.501835985312,1000.0
